speed,heading_error,checkpoint_distance,ray_0_front,ray_1_+45,ray_2_+90,ray_3_+135,ray_4_back,ray_5_-135,ray_6_-90,ray_7_-45,ground_friction,throttle,steering
16.9567,0.1736,22.6624,6.2253,50.0000,28.0684,30.3654,50.0000,50.0000,6.2385,3.9416,0.8000,1.0000,1.0000
16.9898,0.2603,21.8683,5.2326,50.0000,28.9048,28.7550,44.1120,50.0000,6.3808,3.6643,0.8000,1.0000,1.0000
16.0863,0.3317,21.0882,5.0736,50.0000,29.9069,27.7262,41.5637,50.0000,7.6048,3.8200,0.8000,1.0000,0.0000
16.1395,0.3192,20.3209,5.2004,50.0000,29.7672,27.5968,42.1925,50.0000,7.0882,3.8262,0.8000,1.0000,0.0000
16.2193,0.3074,19.5427,5.0002,50.0000,29.6661,27.5030,42.6032,50.0000,6.1843,3.5827,0.8000,1.0000,0.0000
15.7135,0.3283,18.7626,4.7494,50.0000,30.1228,27.1827,42.5483,50.0000,5.9222,3.4610,0.8000,1.0000,0.0000
15.5119,0.3373,18.0037,4.8282,50.0000,30.4253,27.0119,43.1531,50.0000,6.0723,3.5203,0.8000,1.0000,0.0000
15.6639,0.3278,17.2388,4.6999,50.0000,30.4261,27.0126,43.8563,50.0000,5.5410,3.3757,0.8000,1.0000,0.0000
15.3099,0.3378,16.4732,4.5902,50.0000,30.8027,26.9158,44.5100,50.0000,5.4072,3.3001,0.8000,1.0000,0.0000
15.1700,0.3446,15.7140,4.5171,50.0000,31.1485,26.8789,45.3246,50.0000,5.2982,3.2629,0.8000,1.0000,-1.0000
15.1453,0.2594,14.9578,4.9612,50.0000,29.8367,27.5139,47.0578,50.0000,4.6179,3.2152,0.8000,1.0000,-1.0000
15.1086,0.1741,14.2004,5.5850,50.0000,28.8167,28.3803,50.0000,50.0000,4.1390,3.2061,0.8000,1.0000,-1.0000
14.9748,0.0896,13.4427,6.5783,50.0000,28.0559,29.4918,50.0000,50.0000,3.8362,3.2601,0.8000,1.0000,-1.0000
15.3068,0.0630,12.6864,6.9844,50.0000,27.9818,29.9234,50.0000,50.0000,3.7052,3.2534,0.8000,1.0000,0.0000
15.0716,0.0745,11.9209,6.7253,50.0000,28.2713,29.7940,50.0000,50.0000,3.6345,3.1809,0.7000,1.0000,0.0000
14.7769,0.0897,11.1714,6.7143,50.0000,28.6169,29.6192,50.0000,50.0000,3.7405,3.2409,0.7000,1.0000,0.0000
14.9087,0.0830,10.4292,6.7871,50.0000,28.7531,29.7602,50.0000,50.0000,3.6496,3.2035,0.7000,1.0000,0.0000
14.5944,0.0926,9.6850,6.5354,50.0000,29.0746,29.6840,50.0000,50.0000,3.5747,3.1261,0.7000,1.0000,0.0000
14.4741,0.0945,8.9539,6.5182,50.0000,29.3273,29.7123,50.0000,50.0000,3.5395,3.1067,0.7000,1.0000,0.0000
14.0696,0.1224,8.2293,6.2540,50.0000,29.9213,29.4274,50.0000,50.0000,3.6334,3.1166,0.7000,1.0000,1.0000
14.2221,-0.6380,45.7010,5.5255,50.0000,31.4063,28.7127,50.0000,50.0000,3.9126,3.1128,0.7000,1.0000,1.0000
14.3501,-0.5765,45.2678,4.7826,50.0000,33.0193,28.3468,50.0000,50.0000,3.9332,2.9477,0.7000,1.0000,1.0000
13.9087,-0.4833,44.8407,4.3356,50.0000,35.8708,28.0440,44.3450,50.0000,4.4331,2.9954,0.4000,1.0000,1.0000
13.6837,-0.4210,44.4014,4.0463,50.0000,38.5562,28.1024,41.0047,50.0000,4.7837,2.9914,0.4000,1.0000,0.0000
13.7672,-0.4248,43.9484,4.0340,50.0000,39.1736,28.3266,40.9871,50.0000,4.7414,2.9761,0.4000,1.0000,0.0000
13.7706,-0.4216,43.4785,4.0226,50.0000,40.1045,28.5770,40.7282,50.0000,4.7638,2.9729,0.4000,1.0000,0.0000
